"LegalName","BusinessName","BusinessAddress","City","State","Zip","County","Municipality","AgentName","Expiration","LastUpdated","Fee","CIG","TOB","VAP","OTC","VM",
"ZZIP STOP WONEWOC LLC","ZZIP STOP","300 CENTER STREET","WONEWOC","WI","53968","JUNEAU","VILLAGE of WONEWOC","Shane Nottestad","2026-06-30","2025-07-09","15","1","1","1","1","0",
"ZZIP STOP INC.","TOORS EASY STOP","411 NORTH MAIN STREET","WESTBY","WI","54667","VERNON","CITY of WESTBY","HARPREET TOOR","2027-06-30","2026-06-24","50","1","0","1","1","0",
"ZUM ZEPPEL, LLC","THURMANS 15","1731 N ARLINGTON PL","MILWAUKEE","WI","53202","MILWAUKEE","CITY of MILWAUKEE","PAUL, RICHARD J, AGENT","2026-03-10","2025-07-15","100","1","1","0","1","0",
"ZINKLES MARKETS LLC","PIGGLY WIGGLY SUPERMARKET #308","30 RIVERSIDE SQUARE","PRAIRIE DU CHIEN","WI","53821","CRAWFORD","TOWN of BRIDGEPORT","CURTIS J ZINKLE","2026-06-30","2025-06-13","5","1","1","1","1","0",
"ZIMMERMANN'S KETTLE HILLS GOLF COURSE, LTD.","KETTLE HILLS GOLF COURSE","3375 STATE ROAD 167","RICHFIELD","WI","53076","WASHINGTON","VILLAGE of RICHFIELD","HANNAH DUBEY ","2026-06-30","2025-07-29","65","1","1","1","1","0",
"ZIMAL LLC","AMOCO","4301 WASHINGTON AVE","RACINE","WI","53405","RACINE","CITY of RACINE","YOOUSUF MUHAMMAD","2026-06-30","2026-04-01","1","1","1","1","0","0",
"ZENIA ENTERPRISES LLC","CITGO ON 8TH STREET","3660 8TH STREET SOUTH","WISCONSIN RAPIDS","WI","54494","WOOD","CITY of WISCONSIN RAPIDS","MUHAMMAD S. NAEEM","2026-06-30","2025-08-27","100","1","1","1","1","0",
"ZEEZIA, LLC","PAYLESS FOOD","1841 N 27TH ST","MILWAUKEE","WI","53208","MILWAUKEE","CITY of MILWAUKEE","TBAISHAT, MOHAMMED A, AGENT","2025-11-15","2025-07-15","100","1","1","1","1","0",
"ZEE 1700 CORP","ZEE 1700 CORP","1700 RAWSON AVENUE","SOUTH MILWAUKEE","WI","53172","MILWAUKEE","CITY of SOUTH MILWAUKEE","BAKUL DESAI","2026-06-30","2025-07-03","100","1","1","1","1","0",
"ZEB'S PETROLEUM INC","VILLAGE MART","109 N MILWAUKEE ST","WATERFORD","WI","53185","RACINE","VILLAGE of WATERFORD","CHAUNDHRY ZEB","2027-06-30","2026-06-18","100","1","1","1","1","0",
"ZAKS FISH &CHICKEN 2 LLC","STATE FOOD MART","1743 STATE ST","RACINE","WI","53404","RACINE","CITY of RACINE","SAID FARAG","2026-06-30","2026-04-01","1","1","1","1","0","0",
"ZAIRA ENTERPRISES LLC","SHELL ON 8TH STREET","2411 8TH STREET SOUTH","WISCONSIN RAPIDS","WI","54494","WOOD","CITY of WISCONSIN RAPIDS","MUHAMMAD S. NAEEM","2026-06-30","2025-08-27","100","1","1","1","1","0",
"ZAFOR'S FRESH MARKET LLC","ZAFOR'S FRESH MARKET LLC","2918 S 13TH ST","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","MOGUL AHMAD, ZAFOR HUSSIN B, AGENT","2025-09-23","2025-07-15","100","1","1","0","1","0",
"ZAD'S, INC","ZAD'S","436-38 S 2ND ST","MILWAUKEE","WI","53204","MILWAUKEE","CITY of MILWAUKEE","ZADRA, TERRY M, AGENT","2026-02-13","2025-07-15","100","1","1","0","1","0",
"ZACKARY KEMPKEN","ROCHESTER MINI MART","607 S FRONT ST","ROCHESTER","WI","53167","RACINE","VILLAGE of ROCHESTER","","2027-06-30","2026-06-10","100","1","1","1","1","0",
"ZACK AND ADEM, LLC","GLASS HOUSE SMOKE AND VAPE","2334 N FARWELL AV","MILWAUKEE","WI","53211","MILWAUKEE","CITY of MILWAUKEE","ABDUL RAHIM, AHMAD, AGENT","2025-07-10","2025-07-15","100","1","1","1","1","0",
"ZACH'S BAR AND GRILL","ZACH'S BAR","126 4TH STREET","BARABOO","WI","53913","SAUK","CITY of BARABOO","ZACHERY ZIEGLER","2026-06-30","2025-07-15","100","1","0","0","1","0",
"Z PLACE 2 BE","Z PLACE 2 BE","155835 COUNTY ROAD C","MOSINEE","WI","54455","MARATHON","TOWN of GUENTHER","ZENA Dohls ","2026-06-30","2025-06-29","25","1","0","0","1","0",
"Z & MN Incorporated","Top Shelf Smoke Shop","316 N. Main St","DeForest","WI","53532","DANE","VILLAGE of DEFOREST","Nawar Alzokari","2026-06-30","2025-07-15","100","1","1","1","1","0",
"YUKTI PETROLEUM LLC","LODI C-STORE","107 PORTAGE STREET","LODI","WI","53555","COLUMBIA","CITY of LODI","Dipak Thapa","2027-06-30","2026-06-22","100","1","1","1","1","0",
"YOURCHUCK VIDEO INC","YOURCHUCK VIDEO","24537 HWY 35/70 N","SIREN","WI","54872","BURNETT","TOWN of SIREN","JOSEPH YOURCHUCK","2027-06-30","2026-06-24","25","1","1","1","1","0",
"YOUR PLACE, LLC","YOUR PLACE LLC","204 2ND AVENUE","OSCEOLA","WI","54020","POLK","VILLAGE of OSCEOLA","HANNAH PETERSON","2026-06-30","2025-06-23","100","1","1","1","1","0",
"YOUR PLACE 2 LLC","YOUR PLACE 2 LLC","84 MAIN STREET W","MILLTOWN","WI","54858","POLK","VILLAGE of MILLTOWN","Melissa Gravelle","2026-06-30","2025-07-01","50","1","1","1","1","0",
"YOUNGS HIDEOUT","YOUNG'S HIDEOUT","N616 NORTH BEND DRIVE","MELROSE","WI","54642","JACKSON","TOWN of NORTH BEND","Ryan Young","2026-06-30","2025-06-30","10","1","0","0","1","0",
"YOGI ENTERPRISE LLC","WAUNAKEE CITGO","206 S CENTURY AVE","WAUNAKEE","WI","53597","DANE","VILLAGE of WAUNAKEE","JINAL R PATEL","2026-06-30","2026-03-02","100","1","1","1","1","0",
"YOGI 500 LLC","BURLINGTON BP","500 E. STATE STREET","BURLINGTON","WI","53105","RACINE","CITY of BURLINGTON","YOGESHKUMAR PATEL","2026-06-30","2026-02-24","100","1","1","1","1","0",
"YOGESHWAR, LLC","DISCOUNT CIGARETTE & BEER","5320 S 27TH ST","MILWAUKEE","WI","53221","MILWAUKEE","CITY of MILWAUKEE","PATEL, NARENDRA M, AGENT","2025-07-10","2025-07-15","100","1","1","0","1","0",
"YO-MAN PRODUCTIONS INC","PRAIRIE DOG BLUES SOCIETY/FEST","ST FERIOLE ISLAND PARK - 4TH STREET SHELTER/TENT","PRAIRIE DU CHIEN","WI","53821","CRAWFORD","CITY of PRAIRIE DU CHIEN","TODD YEOMANS","2026-06-30","2026-03-09","20","0","1","0","1","0",
"YETI LLC","KAUKAUNA BP","400 W. 10TH STREET","KAUKAUNA","WI","54130","OUTAGAMIE","CITY of KAUKAUNA","Prashant Banjade","2026-06-30","2025-07-09","15","1","1","1","1","0",
"YESTERDAY'S","KROWDOG LLC","317 PEARL ST","LA CROSSE","WI","54601","LA CROSSE","CITY of LA CROSSE","KORLAN ANDREW BESSINGER","2026-06-30","2025-09-26","100","1","1","0","1","0",
"YELLOWSTONE OUTDOOR RESORT AND CAMP,LLC ","CORK DOWN SALOON","18272 LAKE ROAD","BLANCHARDVILLE","WI","53516","LAFAYETTE","TOWN of ARGYLE","MICHAEL AND ANGELA WIRTH","2027-06-30","2026-06-11","5","1","1","0","1","0",
"YAZEN ENTERPRISE LLC","2 BROTHERS GROCERY & TOBACCO","4326 W BURLEIGH ST","MILWAUKEE","WI","53210","MILWAUKEE","CITY of MILWAUKEE","QASEM, ESSAM M, AGENT","2026-06-12","2025-07-15","100","1","1","1","1","0",
"YASMINE FOODS, LLC","LINCOLN SUPERMARKET","1534 W LINCOLN AV","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","ATARI, LOAI A, AGENT","2025-12-11","2025-07-15","100","1","1","0","1","0",
"YASMIN SHARIF","AYAH CITGO EXPRESS","324 N MAIN ST","FOND DU LAC","WI","54935","FOND DU LAC","CITY of FOND DU LAC","YASMIN SHARIF","2026-06-30","2025-07-24","100","1","1","1","1","0",
"YASH LLC","MOBIL GAS","4924 SHERIDAN ROAD","KENOSHA","WI","53140","KENOSHA","CITY of KENOSHA","JAY KANTHARIA","2027-06-30","2026-06-25","100","1","1","1","1","0",
"YASH & PRIYA CORP.","YASH & PRIYA CORP., DBA PAULS LIQUOR & TOBACCO","716 WALWORTH STREET","GENOA CITY","WI","53128","WALWORTH","VILLAGE of GENOA CITY","HODGE, CAROLYNN","2026-06-30","2025-07-14","100","1","1","1","1","0",
"YAN'S FOOD LLC","ASIAN MIDWAY FOODS","301 S PARK ST","MADISON","WI","53715","DANE","CITY of MADISON","YOEK KIN YAN","2025-06-30","2026-04-16","100","1","0","0","1","0",
"YALLA TOBACCO LLC","HIDEAWAY","2633 E CLAIREMONT AVE","EAU CLAIRE","WI","54701","EAU CLAIRE","TOWN of WASHINGTON","SULEMAN TAHTAMONI","2027-06-30","2026-06-19","50","1","1","1","1","0",
"YAHARA INN LTD","MICKEY'S TAVERN","1524 WILLIAMSON ST","MADISON","WI","53703","DANE","CITY of MADISON","BENJAMIN ALTSCHUL","2025-06-30","2026-04-16","100","1","0","0","1","0",
"YAEGER'S LEAK ROOF, LLC","OAK AVENUE PUB & GRILL","W8903 OAK AVENUE","SHAWANO","WI","54166","SHAWANO","TOWN of RICHMOND","Steven L. Yaeger","2027-06-30","2026-06-11","25","1","0","0","1","0",
"XY, INC","SENSATIONS","444 S. CENTRAL AVE","MARSHFIELD","WI","54449","WOOD","CITY of MARSHFIELD","MARK WILSON","2026-06-30","2025-07-07","0","1","1","1","1","0",
"XTREME VAPE LLC","XTREME VAPE LLC","2242 NEVA RD","ANTIGO","WI","54409","LANGLADE","CITY of ANTIGO","GEORGE A. PACKARD","2026-06-30","2025-07-14","25","0","1","1","1","0",
"XEBEC CORPORATION","HODAG COUNTRY FESTIVAL","4270 RIVER ROAD","RHINELANDER","WI","54501","ONEIDA","TOWN of PINE LAKE","GERRY VAN HARPEN","2027-06-30","2026-06-22","50","1","1","1","1","0",
"WURZERS LINCOLNWOOD LLC"," LINCOLNWOOD RESORT AND BAR","N1075 EAST SIDE RD","BIRCHWOOD","WI","54817","WASHBURN","TOWN of LONG LAKE","MARLENE CONNOR","2027-06-30","2026-06-17","10","1","0","0","1","0",
"WURSTBAR MKE LLC","WURST BAR","1239 E BRADY ST","MILWAUKEE","WI","53202","MILWAUKEE","CITY of MILWAUKEE","SCHAEFER, SCOTT A, AGENT","2025-10-11","2025-07-15","100","1","1","0","1","1",
"WUNDERJAK ENTERPRISES, LLC","FAT DADDY'S","120 W NATIONAL AV","MILWAUKEE","WI","53204","MILWAUKEE","CITY of MILWAUKEE","JAKSIC, STEFANI I, AGENT","2026-04-10","2025-07-15","100","1","1","0","1","0",
"WT ENTERTAINMENT","SNAPPER VICK'S","N5007 COUNTY ROAD WS","WOODLAND","WI","53099","DODGE","TOWN of HERMAN","TRAVIS WARRINER TOWERS","2027-06-30","2026-06-12"," 100.00","1","1","1","1","0",
"WPGC INVESTMENTS LLC","WHISPERING PINES GOLF COURSE","24700 COUNTY HIGHWAY X","CADOTT","WI","54727","CHIPPEWA","VILLAGE of CADOTT","TODD RYKAL","2026-06-30","2026-03-17","10","1","1","0","1","0",
"WOODSHED PIZZA INC","WOODSHED PIZZA","N1090 825TH ST","HAGER CITY","WI","54014","PIERCE","TOWN of TRENTON","GARY THOM","2026-06-30","2025-09-26","5","1","1","1","1","0",
"WOODS LIQUOR LANDING LLC","WOODS LIQUOR LANDING","N9070 CTY RD FW","RANDOLPH","WI","53956","DODGE","TOWN of WESTFORD","HOLLY WOODS","2027-06-30","2026-06-23","5","1","0","0","1","0",
"WOODMANS FOOD MARKET, INC.","WOODMAN'S FOOD MARKET #24","9515 STATE ROAD 16","ONALASKA","WI","54650","LA CROSSE","CITY of ONALASKA","INGA STRAIN","2026-06-30","2025-07-10","100","1","1","1","1","0",
"WOODMAN'S FOOD MARKET, INC.","WOODMAN'S FOOD MARKET","949 S GRAND AVE","SUN PRAIRIE","WI","53590","DANE","CITY of SUN PRAIRIE","TYLER ELLIS","2027-06-30","2026-06-10","100","1","1","0","1","0",
"WOODMAN'S FOOD MARKET, INC.","WOODMAN'S #22 GAS STATION","595 N. WESTHILL BLVD.","GRAND CHUTE","WI","54914","OUTAGAMIE","TOWN of GRAND CHUTE","BRANDON SANWICK","2026-06-30","2026-02-13","0","1","1","0","1","0",
"WOODMAN'S FOOD MARKET, INC.","WOODMAN'S FOOD MARKET","1099 S GRAND AVE","SUN PRAIRIE","WI","53590","DANE","CITY of SUN PRAIRIE","LEE ANN WALKER","2027-06-30","2026-06-10","100","1","1","1","1","0",
"WOODMAN'S FOOD MARKET, INC.","WOODMAN'S FOOD MARKET","2855 WOODMAN DRIVE","ALTOONA","WI","54720","EAU CLAIRE","CITY of ALTOONA","ADAM CAMPBELL","2026-06-30","2025-09-11","100","1","1","0","1","0",
"WOODMAN'S FOOD MARKET, INC.","WOODMAN'S MARKET GAS STATION","7305-118TH AVE","KENOSHA","WI","53140","KENOSHA","CITY of KENOSHA","RONALD ALLAN","2027-06-30","2026-06-25","100","1","1","1","1","0",
"WOODMAN'S FOOD MARKET, INC.","WOODMAN'S FOOD MARKET #39","W124N8145 HWY 145","MENOMONEE FALLS","WI","53051","WAUKESHA","VILLAGE of MENOMONEE FALLS","RICE, ALEXANDER","2026-06-30","2025-07-14","100","1","1","1","1","0",
"WOODMAN'S FOOD MARKET, INC","WOODMAN'S FOOD MARKET","1877 MADISON RD","BELOIT","WI","53511","ROCK","CITY of BELOIT","KEVIN M KOLBERG JR","2026-06-30","2025-07-23","100","1","1","0","1","0",
"WOODMAN'S FOOD MARKET, INC","WOODMAN'S GAS STATION","9515 HWY 16","ONALASKA","WI","54650","LA CROSSE","CITY of ONALASKA","INGA STRAIN","2026-06-30","2025-07-10","100","1","1","1","1","0",
