state,license_number,legal_name,dba,address,city,state_code,zip,issue_date,expiration_date,status,license_type,source_file_name,parsed_at
Washington,602493542,KH GROCERY MARKET,,21121 E WELLESLEY AVE,OTIS ORCHARDS,WA,99027,,2026-04-30,Expired,0056,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,602493542,KH GROCERY MARKET,,21121 E WELLESLEY AVE,OTIS ORCHARDS,WA,99027,,2026-04-30,Expired,0136,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,602493542,KH GROCERY MARKET,,21121 E WELLESLEY AVE,OTIS ORCHARDS,WA,99027,,2026-04-30,Expired,0063,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604078576,REPUBLIC CHEVRON QUICK STOP,,30267 E HIGHWAY 20,REPUBLIC,WA,99166,,2026-01-31,Expired,0063,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604078576,REPUBLIC CHEVRON QUICK STOP,,30267 E HIGHWAY 20,REPUBLIC,WA,99166,,2026-01-31,Expired,0136,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604078576,REPUBLIC CHEVRON QUICK STOP,,30267 E HIGHWAY 20,REPUBLIC,WA,99166,,2026-01-31,Expired,0056,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,603286259,VAPORLAND,,523 STATE ROUTE 9 NE,LAKE STEVENS,WA,98258,,2026-03-31,Expired,0056,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604118070,OASIS 76,,11249 1ST AVE S,SEATTLE,WA,98168,,2026-04-30,Expired,0056,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604118070,OASIS 76,,11249 1ST AVE S,SEATTLE,WA,98168,,2026-04-30,Expired,0136,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604118070,OASIS 76,,11249 1ST AVE S,SEATTLE,WA,98168,,2026-04-30,Expired,0063,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604092434,PACIFIC FOOD MART,,3419 W CLEARWATER AVE,KENNEWICK,WA,99336,,2026-02-28,Expired,0136,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604092434,PACIFIC FOOD MART,,3419 W CLEARWATER AVE,KENNEWICK,WA,99336,,2026-02-28,Expired,0056,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604092434,PACIFIC FOOD MART,,3419 W CLEARWATER AVE,KENNEWICK,WA,99336,,2026-02-28,Expired,0063,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604088513,JUICE FASHIONS LLC,,17701 108TH AVE SE,RENTON,WA,98055,,2026-02-28,Expired,0060,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604128901,MANY'S MARKET,,811 W MEAD AVE,YAKIMA,WA,98902,,2026-05-31,Expired,0136,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604128901,MANY'S MARKET,,811 W MEAD AVE,YAKIMA,WA,98902,,2026-05-31,Expired,0063,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604128901,MANY'S MARKET,,811 W MEAD AVE,YAKIMA,WA,98902,,2026-05-31,Expired,0056,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604114674,SKAGIT BIG MINI MART,,157 S BURLINGTON BLVD,BURLINGTON,WA,98233,,2026-04-30,Expired,0056,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604114674,SKAGIT BIG MINI MART,,157 S BURLINGTON BLVD,BURLINGTON,WA,98233,,2026-04-30,Expired,0063,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604114674,SKAGIT BIG MINI MART,,157 S BURLINGTON BLVD,BURLINGTON,WA,98233,,2026-04-30,Expired,0136,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,602201702,SEDRO WOOLLEY FOOD MART,,1015 HODGIN ST,SEDRO WOOLLEY,WA,98284,,2026-04-30,Expired,0063,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,602201702,SEDRO WOOLLEY FOOD MART,,1015 HODGIN ST,SEDRO WOOLLEY,WA,98284,,2026-04-30,Expired,0136,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604113349,SMOKE TOWN,,1102 STATE AVE,MARYSVILLE,WA,98270,,2026-04-30,Expired,0063,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604113349,SMOKE TOWN,,1102 STATE AVE,MARYSVILLE,WA,98270,,2026-04-30,Expired,0056,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
Washington,604113349,SMOKE TOWN,,1102 STATE AVE,MARYSVILLE,WA,98270,,2026-04-30,Expired,0136,CIG_TOB_VAPE_021026.xlsx,2026-06-29T13:32:05Z
